Student ID	Grade	1st	2nd	3rd	4th	5th	6th	7th
20	12	Severtson, K.- 12 BR LIT & COMP	Nighbert, C.- WGT TN	Echevarria, A.- SPAN III	Foote, M.- ADV ALG: CONC & CONN	Walsh, B.- ACADEMIC CONTACT	Rotondi, A.- AMGOV/CIV	Myers, M.- PHYSICS
21	12	Walsh, B.- 12 BR LIT & COMP	Mohsen, A.- FOREN SCI	Allison, D.- STAT REASONING	Hall, M.- SOCIOLOGY	Manners, J.- ACADEMIC CONTACT	Witmer, C.- ECON & PERS FIN	Dunbar, H.- FINANCE LIT
22	11	Underwood, Z.- GEOMETRY: CONC & CONN	Mohsen, A.- FOREN SCI	Underwood, Z.- PHYSICS	Sochacki, E.- WORLD HIST	Underwood, Z.- 11 AM LIT & COMP	Zellner, C.- ACADEMIC CONTACT	Sochacki, E.- 12 BR LIT & COMP
23	11	Filomeno, N.- SPAN I	Harrison, L.- 11 AM LIT & COMP	Csehy, B.- PHYSICS	Jameson, A.- ACADEMIC CONTACT	Bui, A.- A/V TECH/FILM III	Reason, J.- US HIST	Thomas, D.- ADV ALG: CONC & CONN
24	11	Myers, M.- PHYSICS HON	Clemens, W.- 11 AM LIT & COMP H	Costigan, C.- ADV MUSIC TECH	Campbell, T.- ACADEMIC CONTACT	Jimenez, J.- SPAN II	Delong, B.- US HISTORY HON	Backfisch, R.- AP CAL AB
25	11	Zoeller, C.- ADV ALG: CONC & CONN	Echevarria, A.- SPAN III	Lee, W.- WGT TN	Held, H.- 11 AM LIT & COMP	Harvey, J.- PHYSICS	Chouloute, J.- ACADEMIC CONTACT	Branch, J.- US HISTORY
26	12	Mcdaniel, J.- ECON & PERS FIN HON	Winzeler, M.- GAME D:ANIM &SIMUL	Stanley, L.- MSTRY BAND II	Hanley, V.- AP CAL AB GF	Rockwell, S.- ACADEMIC CONTACT	Phillips, L.- AP COMPSCI A GIF	Rogers, C.- 12 BR LIT&COMP GF
27	12	Debban, E.- DRAW/PAINT I	Campbell, T.- STAT REASONING	Bui, A.- A/V TECH/FILM I	Hill, J.- ECON & PERS FIN	Walsh, B.- ACADEMIC CONTACT	Severtson, K.- 12 BR LIT & COMP	Haynes, J.- FOREN SCI
28	12	Boyt, M.- ECON & PERS FIN	Nighbert, C.- WGT TN	Byrd, J.- INTRO/SOFTWARE TECH	Dudek, K.- ACADEMIC CONTACT	Price, T.- INTRO BUSI TECH	Walsh, B.- 12 BR LIT & COMP	Conway, C.- STAT REASONING
29	12	Dodson, P.- 12 BR LIT & COMP	Bryan, J.- PHYSICS	Allison, D.- STAT REASONING	Dunbar, H.- FINANCE LIT	Walsh, B.- ACADEMIC CONTACT	Whisonant, M.- SPAN I	Meunier, P.- AMGOV/CIV
30	11	Crews, L.- VIS ART COMP I	Csehy, B.- PHYSICS	Still, C.- INT WOM CHOR II	Thomas, D.- ADV ALG: CONC & CONN	Clemens, W.- 11 AM LIT & COMP H	Chouloute, J.- ACADEMIC CONTACT	Chambers, K.- US HIST
31	12	Mcdaniel, J.- ECON & PERS FIN HON	Thornton, S.- ANAT & PHYS	Stanley, L.- MSTRY BAND III				
32	12	Dodson, P.- 12 BR LIT & COMP	Chouloute, J.- ECON & PERS FIN	Campbell, L.- LATIN I	Dudek, K.- ACADEMIC CONTACT	Costigan, C.- BEG MUSIC TECH	Mohsen, A.- FOREN SCI	Allison, D.- STAT REASONING
33	12	Boyt, M.- ECON & PERS FIN	Conway, C.- STAT REASONING	Walsh, B.- 12 BR LIT&COMP HON	Creasy, A.- ACADEMIC CONTACT	Creasy, A.- BUS COM SCI WS I		
34	12	Jackson, D.- FINANCE LIT	Duncan, K.- AP COMP SCI PRINC	Allgood, A.- LATIN III	Crews, L.- ACADEMIC CONTACT	Koontz, A.- AP AM GOV	Thomas, D.- PRECALCULUS	Clemens, W.- 12 BR LIT&COMP HON
35	11	Leyva, M.- 11 AM LIT & COMP	Leyva, M.- ADV ALG: CONC & CONN	Leyva, M.- PHYS SCI	Leyva, M.- US HISTORY	Leyva, M.- ACADEMIC CONTACT	Leyva, M.- PSNL FINANCIAL LIT	Leyva, M.- INTERMED TEAM SPORTS
36	11	Steele, E.- 11 AM LIT & COMP	Zellner, C.- CAREER TECH IN I	Bryan, J.- PHYSICS	Nagle, J.- ADV ALG: CONC & CONN	Sochacki, E.- ACADEMIC CONTACT	Schmiedt, I.- ADV ALG: C&C STRAT	Hernick, D.- US HISTORY
37	12	Phillips, L.- ADV CALC II GF	Rovie, E.- AP LANG COMP GF	Erwin, J.- AP CHEM GF	Michael, C.- AP COMPSCI A GIF	Koontz, A.- AP AM GOV GF	Timmons, S.- ACADEMIC CONTACT	Rossino, K.- AP LATIN GF
38	12	Leyva, M.- 12 BR LIT & COMP	Leyva, M.- ADV FINANCIAL ALG	Leyva, M.- ENV SC	Leyva, M.- ECON & PERS FIN	Leyva, M.- ACADEMIC CONTACT	Leyva, M.- CURRENT ISSUES	Leyva, M.- ADV LT SP
39	12	Woods, L.- 12 BR LIT & COMP	Mcdaniel, J.- ECON & PERS FIN HON	Powers, C.- FRENCH III HON	Koontz, A.- ACADEMIC CONTACT	Lee, W.- WGT TN	Conway, C.- STAT REASONING	Pearson, J.- SPORTS MEDICINE
40	11	Hanley, V.- PRECALCULUS	Kendall, M.- ADV ORCH I	Beall, S.- PHYSICS HON	Stebbins, L.- 11 AM LIT & COMP H	Jackson, D.- ACADEMIC CONTACT	Crews, L.- PHOTO III	Thomas, J.- US HISTORY HON
41	12	Mobley, D.- ADV ALG: CONC & CONN	Woods, L.- 12 BR LIT & COMP	Hembree, R.- FOREST SCIENCE	Boyt, M.- ACADEMIC CONTACT	Price, T.- INTRO BUSI TECH	Rotondi, A.- AMGOV/CIV	Jones, P.- GENERAL PE I
42	11	Cash, L.- 11 AM LIT & COMP	Cash, L.- ADV ALG: CONC & CONN	Cash, L.- PHYS SCI	Cash, L.- US HISTORY	Cash, L.- ACADEMIC CONTACT	Cash, L.- PSNL FINANCIAL LIT	Cash, L.- INTERMED TEAM SPORTS
43	11	Goodwin-Morales, A.- SPAN II	Schmiedt, I.- ADV ALG: C&C STRAT	Nagle, J.- ADV ALG: CONC & CONN	Haynes, J.- ACADEMIC CONTACT	Steele, E.- 11 AM LIT & COMP	Hernick, D.- US HISTORY	Bryan, J.- PHYSICS
44	12	Crawford, A.- 12 BR LIT&COMP GF	Timmons, S.- AP ART HIS GIF	Lindahl, L.- TECH THEATRE III	Creasy, A.- ACADEMIC CONTACT	Chelko, K.- MAXWELL PM		
45	11	Huard, B.- PHYSICS	Thomas, J.- US HIST	Foote, M.- ADV ALG: CONC & CONN	Echevarria, A.- SPANISH IV	Moore, J.- 11 AM LIT & COMP	Stebbins, L.- ACADEMIC CONTACT	Stephens, B.- FOUND ENG/TECH
46	11	Myers, M.- PHYSICS GF	Stanley, L.- ADV BAND I	Humphrey, E.- SPAN III GF	Hanley, V.- AP CAL AB GF			
47	12	Lester, G.- HOSP/TOURISM ESSEN	Chouloute, J.- ECON & PERS FIN	Cason, C.- ADV TM SP	Byrd, J.- FOUND ENG/TECH	Witmer, C.- ACADEMIC CONTACT	Mohsen, A.- FOREN SCI	Fowler, M.- 12 BR LIT & COMP
48	12	Dodson, P.- 12 BR LIT & COMP	Jackson, D.- FINANCE LIT	Allison, D.- STAT REASONING	Hill, J.- ECON & PERS FIN	Manners, J.- ACADEMIC CONTACT	Mohsen, A.- FOREN SCI	Debban, E.- JEWELRY METAL I
49	11	Cash, L.- 11 AM LIT & COMP	Cash, L.- ADV ALG: CONC & CONN	Cash, L.- PHYS SCI	Cash, L.- US HISTORY	Cash, L.- ACADEMIC CONTACT	Cash, L.- PSNL FINANCIAL LIT	Cash, L.- INTERMED TEAM SPORTS
50	12	Gilbert, R.- INTRO TEAM SPORTS	Kling, D.- AP LIT/COMP GF	Witmer, C.- AP MACRECON GF	Cicora, C.- ADV WGT TN	Severtson, K.- ACADEMIC CONTACT	Jameson, A.- CALC GF	Thornton, S.- ANAT & PHY GF
51	12	Mincy, C.- INTRO TEAM SPORTS	Mincy, C.- ADV EX AND WELLNESSS	Delong, B.- AMGOV/CIV HON	Mclendon, J.- AP STAT GIFT	Thornton, C.- AP ENV SC GF	Meunier, P.- ACADEMIC CONTACT	Clemens, W.- 12 BR LIT&COMP GF
52	12	Winzeler, M.- AP CAL AB	Kendall, M.- ADV ORCH I	Duncan, K.- AP COMP SCI PRINC	Myers, M.- ADV PHYS ROBOTIC	Lucky, J.- ACADEMIC CONTACT	Mcdaniel, J.- ECON & PERS FIN HON	Rogers, C.- 12 BR LIT&COMP HON
53	11	Steele, E.- 11 AM LIT & COMP	Mincy, C.- BODY SCULP	Bryan, J.- PHYSICS	Meunier, P.- US HISTORY	Foote, M.- ACADEMIC CONTACT	Debban, E.- VIS ART COMP II	Gault, K.- STDYSKILLS C
54	11	Rossino, K.- LATIN II	Thomas, J.- US HIST	Zoeller, C.- ADV ALG: CONC & CONN	Byrd, J.- FOUND ENG/TECH	Stebbins, L.- 11 AM LIT & COMP H	Branch, J.- ACADEMIC CONTACT	Chinik, P.- PHYSICS
55	11	Cash, L.- 11 AM LIT & COMP	Cash, L.- ADV ALG: CONC & CONN	Cash, L.- PHYS SCI	Cash, L.- US HISTORY	Cash, L.- ACADEMIC CONTACT	Cash, L.- PSNL FINANCIAL LIT	Cash, L.- INTER LT SPORTS
56	11	Lee, W.- ADV WGT TN	Bonnett, W.- PHYSICS (S)	Parham, C.- US HISTORY (S)	Clemens, W.- ACADEMIC CONTACT	Filomeno, N.- SPAN I	Harrison, L.- 11 AM LIT&COMP (S)	Foote, M.- ADV ALG: CONC & CONN (S)
57	12	Stephens, B.- FOUND ENG/TECH	Gilbert, R.- PHYSICAL COND	Johnson, M.- PRECALCULUS	Zoeller, C.- ACADEMIC CONTACT	Hill, J.- AMGOV/CIV	Severtson, K.- 12 BR LIT & COMP	Pearson, J.- SPORTS MEDICINE
58	9	Hildebrand, W.- WORLD HIST	Tolmich, M.- CHEM	McKee, T.- GEOMETRY: CONC & CONN	Chatham, H.- 10 LIT & COMP HON	Lee, W.- WGT TN	Robertson, M.- ACADEMIC CONTACT	Whisonant, M.- SPAN I
59	12	Jackson, D.- FINANCE LIT	Hanley, V.- PRECALCULUS	Rotondi, A.- AMGOV/CIV HON	Hughes, J.- SOCIOLOGY	Mcdaniel, J.- ACADEMIC CONTACT	Walsh, B.- 12 BR LIT & COMP	Pearson, J.- SPORTS MEDICINE
60	12	Walsh, B.- 12 BR LIT & COMP	Costigan, C.- BEG MUSIC TECH	Bui, A.- A/V TECH/FILM I	Koontz, A.- ACADEMIC CONTACT	Hill, J.- AMGOV/CIV	Mohsen, A.- FOREN SCI	Allison, D.- STAT REASONING
61	12	Dodson, P.- 12 BR LIT & COMP	Chouloute, J.- ECON & PERS FIN	Lee, W.- ADV WGT TN	Koontz, A.- ACADEMIC CONTACT	Debban, E.- VIS ART COMP II	Mohsen, A.- FOREN SCI	Allison, D.- STAT REASONING
62	9	Underwood, Z.- GEOMETRY: CONC & CONN	Underwood, Z.- CHEM	Sochacki, E.- WORLD HIST	Zellner, C.- 10 LIT & COMP	Underwood, Z.- GEOMETRY: C&C STRAT	Zellner, C.- ACADEMIC CONTACT	Manners, J.- STDYSKILLS A
63	12	Mincy, C.- INTRO TEAM SPORTS	Stephens, B.- BUSI COMM	Mincy, C.- ADV BODY SCULP				
64	12				Thompson, E.- ACADEMIC CONTACT	Chelko, K.- MAXWELL PM		
65	12	Linderman, A.- PS DIFF EQU(MA2552	Erwin, J.- AP CHEM GF	Witmer, C.- AP MACRECON GF	Dudek, K.- ACADEMIC CONTACT	Timmons, S.- AP LANG COMP GF	Chvatal, J.- AP BIOLOGY N EO GF	Gorun, J.- AP RES ELA-CAP GF
66	12	Lindahl, L.- ACTING I	Hill, J.- AMGOV/CIV	Conway, C.- STAT REASONING	Dudek, K.- ACADEMIC CONTACT	Still, C.- ADV MNS CHOR II	Walsh, B.- 12 BR LIT & COMP	Haynes, J.- FOREN SCI
67	12		Haynes, J.- FORENSIC SCI HON	Allgood, A.- LATIN III	Rotondi, A.- AMGOV/CIV HON	Rockwell, S.- ACADEMIC CONTACT	Duncan, K.- AP COMP SCI PRINC	
68	12	Phillips, L.- ADV CALC II	Chvatal, J.- AP BIOLOGY N EO	Delong, B.- AMGOV/CIV HON	Chetram, M.- BIO ENGIN	Severtson, K.- ACADEMIC CONTACT	Phillips, L.- AP COMP SCI A	Clemens, W.- 12 BR LIT&COMP HON
69	12	Rotondi, A.- AMGOV/CIV	Woods, L.- 12 BR LIT & COMP	Conway, C.- STAT REASONING	Jones, P.- INTRO TEAM SPORTS	Mcdaniel, J.- ACADEMIC CONTACT	Allgood, A.- LATIN III	Pearson, J.- SPORTS MEDICINE
70	12	Ulloa, D.- FIRST AID SAFE				Ulloa, D.- ACADEMIC CONTACT	Ulloa, D.- FIRST AID SAFE	
71	12			Harvey, J.- PHYSICS				
72	11	Velasco, K.- 11 AM LIT & COMP	Harvey, J.- PHYSICS	Branch, J.- US HISTORY	Lee, W.- ADV WGT TN	Johnson, M.- ACADEMIC CONTACT	Zoeller, C.- ADV ALG: CONC & CONN	Jimenez, J.- SPAN II
73	11	Meek, M.- ADV ALG: CONC & CONN	Echevarria, A.- SPAN III	Katz, P.- US HISTORY HON	Moore, J.- 11 AM LIT & COMP	Csehy, B.- PHYSICS	Rossino, K.- ACADEMIC CONTACT	Thornton, S.- ANAT & PHYS
74	10	Haynes, J.- FOREN SCI	Walsh, B.- 12 BR LIT & COMP	Kimbrough, M.- GERMAN II	Conway, C.- STAT REASONING	Meek, M.- ACADEMIC CONTACT	Witmer, C.- ECON & PERS FIN	Cicora, C.- INTRO REC GAMES
75	10	Gilbert, R.- INTRO TEAM SPORTS	Underwood, Z.- CHEM	Sochacki, E.- US HISTORY	Zellner, C.- 11 AM LIT & COMP	Debban, E.- VIS ART COMP II	Zellner, C.- ACADEMIC CONTACT	Manners, J.- STDYSKILLS A
76	11	Edwards, S.- SPAN II GF	Johnson, M.- AP PRECALCULUS GIFTED	Kendall, M.- MSTRY ORCH III	Ford, P.- ACADEMIC CONTACT	Reason, J.- AP US HIST GF	Crawford, A.- 11 AM LIT&COMP GF	Beall, S.- ENGY/POWER TECH
77	11	Clemens, W.- 11 AM LIT & COMP H	Thomas, J.- US HIST	Tomlinson, S.- WORLD GEOG	Morrison, D.- PHYSICS	Mathews, C.- ACADEMIC CONTACT	Barahona, K.- SPAN I	Cox, T.- ADV ALG: CONC & CONN
78	10	Byrd, J.- INTRO/SOFTWARE TECH	Nighbert, C.- WGT TN	Meek, M.- ADV ALG: CONC & CONN	Myers, M.- ADV PHYS ROBOTIC	Shelnutt, R.- ACADEMIC CONTACT	Severtson, K.- 12 BR LIT & COMP	Robertson, M.- AMGOV/CIV
79	10	Stimpson, D.- CHEM	Henry, T.- GEOMETRY: CONC & CONN	Daly, K.- WORLD HIST	Underwood, Z.- ACADEMIC CONTACT	Price, T.- INTRO BUSI TECH	Bell, R.- GEOMETRY: C&C STRAT	Mynatt, K.- 10 LIT & COMP
80	11	Lee, W.- PHYSICAL COND	Fischer, D.- SPAN I	Zoeller, C.- ADV ALG: CONC & CONN	Held, H.- 11 AM LIT & COMP	Harvey, J.- PHYSICS	Chouloute, J.- ACADEMIC CONTACT	Branch, J.- US HISTORY
81	10	Leyva, M.- 10 LIT & COMP	Leyva, M.- GEOMETRY: CONC & CONN	Leyva, M.- EARTH SYS	Leyva, M.- WORLD HIST	Leyva, M.- ACADEMIC CONTACT	Leyva, M.- COMM SERV I	Leyva, M.- INTRO LT SPORTS
82	12	Goodwin-Morales, A.- SPAN II	Mohsen, A.- FOREN SCI	Tomlinson, S.- WORLD GEOG	Hill, J.- ECON & PERS FIN	Allison, D.- STAT REASONING	Timmons, S.- ACADEMIC CONTACT	Fowler, M.- 12 BR LIT & COMP
83	11	Rossino, K.- LATIN II	Meyer, M.- AP PSYCH	Johnson, M.- PRECALCULUS	Branch, J.- US HISTORY HON	Stebbins, L.- 11 AM LIT & COMP H	Chouloute, J.- ACADEMIC CONTACT	Beall, S.- ENGY/POWER TECH
84	9	Smith, T.- 9TH GR LIT AND COMP	Smith, T.- ALGEBRA: CONC & CONN	Smith, T.- BIOLOGY	Smith, T.- WORLD GEOG	Smith, T.- ACADEMIC CONTACT	Smith, T.- V ARTS COMP II	Smith, T.- HEALTH
85	11	Lowe, L.- LATIN II GF	Johnson, M.- AP PRECALCULUS GIFTED	Walters, J.- AP US HIST GF	Kling, D.- 11 AM LIT&COMP GF	Whisonant, M.- ACADEMIC CONTACT	Vigardt, C.- SCULPTURE I	Harvey, J.- AP PHYSICS I GF
86	10	Lee, W.- ADV WGT TN	Lohrmann, D.- CHEM	Mabrey, Z.- WORLD HIST	Lester, G.- HOSP/TOURISM MGMT	Mynatt, K.- ACADEMIC CONTACT	Darji, V.- GEOMETRY: CONC & CONN	Ford, P.- 10 LIT & COMP
87	10	Ollinger, L.- 10 LIT & COMP GF	Campbell, L.- LATIN I	Masocco, J.- ADV ALG: CONC & CONN GF	Stanley, L.- INT BAND I	Mynatt, K.- ACADEMIC CONTACT	Parham, C.- US HISTORY GF	Steiner, D.- CHEM GF
88	11	Keyser, C.- PHYSICS HON	Harrison, L.- 11 AM LIT & COMP	Lowe, L.- LAT II HON	Branch, J.- US HISTORY HON	Settles Livers, C.- NAT RES MGMT	Branch, J.- ACADEMIC CONTACT	Cox, T.- ADV ALG: CONC & CONN
89	11	Dunbar, H.- INTRO BUSI TECH	Schmiedt, I.- ADV ALG: C&C STRAT	Underwood, Z.- PHYSICS	Zellner, C.- 11 AM LIT & COMP	Lucky, J.- ACADEMIC CONTACT	Hernick, D.- US HISTORY	Nagle, J.- ADV ALG: CONC & CONN
90	11	Huard, B.- PHYSICS	Lester, G.- HOSP/TOURISM ESSEN	Thomas, J.- US HIST	Lee, W.- ADV WGT TN	Powers, C.- ACADEMIC CONTACT	Johnson, M.- PRECALCULUS	Moore, J.- 11 AM LIT & COMP
91	12	Hembree, R.- BASIC AGRI SCI	Slade, R.- F M & RETAIL ESSEI	Fowler, M.- 12 BR LIT & COMP	Debban, E.- ACADEMIC CONTACT	Lee, W.- WGT TN	Mohsen, A.- FOREN SCI	Meunier, P.- AMGOV/CIV
92	12	Creasy, A.- BUS COM SCI WS I	Chouloute, J.- ECON & PERS FIN	Allison, D.- STAT REASONING	Jones, P.- INTRO TEAM SPORTS	Lucky, J.- ACADEMIC CONTACT	Nighbert, C.- GENERAL PE I	Price, T.- INTRO BUSI TECH
93	10	Masocco, J.- ADV ALG: CONC & CONN GF	Morrison, D.- CHEM HONOR	Kimbrough, M.- GERMAN II	Grigg, A.- AP WOR HIST GF	Kendall, M.- INT/ADV ORCHESTRA I	Erwin, J.- ACADEMIC CONTACT	Harrison, L.- 10 LIT & COMP GF
94	11	Winzeler, M.- AP CAL AB GF	Beall, S.- PHYSICS GF	Stanley, L.- MSTRY BAND I	Price, T.- PRIN OF ACCOUNT I	Gorun, J.- 11 AM LIT&COMP GF	Mclendon, J.- ACADEMIC CONTACT	Swanson, K.- AP PSYCH GF
95	11	Jameson, A.- AP CAL BC GF	Keyser, C.- AP PHYSICS I GF	Kendall, M.- MSTRY ORCH II	Kaiser, D.- AP PSYCH GF	Timmons, S.- AP LANG COMP GF	Branch, J.- ACADEMIC CONTACT	Rossino, K.- AP LATIN GF
96	11	Beall, S.- ENGY/POWER TECH	Clemens, W.- 11 AM LIT & COMP H	Katz, P.- US HISTORY HON	Michael, C.- AP COMP SCI A	Still, C.- ADV MNS CHOR II	Stebbins, L.- ACADEMIC CONTACT	
97	11	Ford, P.- 11 AM LIT & COMP H	Beall, S.- PHYSICS HON	Meek, M.- ADV ALG: CONC & CONN	McElroy, R.- BODY SCULP	Thomas, D.- ACADEMIC CONTACT	Walters, J.- CONTEM ISSUES	Thomas, J.- US HISTORY HON
98	11	Gomez, S.- 11 AM LIT & COMP	Gomez, S.- ADV ALG: CONC & CONN	Gomez, S.- PHYS SCI	Gomez, S.- US HISTORY	Gomez, S.- ACADEMIC CONTACT	Gomez, S.- PSNL FINANCIAL LIT	Gomez, S.- INTERMED TEAM SPORTS
99	12	Ulloa, D.- 12 BR LIT & COMP	Ulloa, D.- ADV FINANCIAL ALG	Ulloa, D.- ENV SC	Ulloa, D.- ECON & PERS FIN	Ulloa, D.- ACADEMIC CONTACT	Ulloa, D.- CURRENT ISSUES	Ulloa, D.- ADV LT SP
100	11	Grigg, A.- US HISTORY	Harvey, J.- PHYSICS	Zoeller, C.- ADV ALG: CONC & CONN	Stanley, L.- INT BAND II	Held, H.- ACADEMIC CONTACT	Held, H.- 11 AM LIT & COMP	Whisonant, M.- SPAN I
101	12	Hill, J.- ECON & PERS FIN	Walsh, B.- 12 BR LIT & COMP	Allison, D.- STAT REASONING	Thompson, E.- ACADEMIC CONTACT	Chelko, K.- MAXWELL PM		
102	12	Walsh, B.- 12 BR LIT & COMP	Cason, C.- INTRO TEAM SPORTS	MacKay, J.- FOREN SCI	Winzeler, M.- PRECALCULUS	Hill, J.- AMGOV/CIV	Martin, S.- ACADEMIC CONTACT	Hughes, J.- SOCIOLOGY
103	10	Lowe, L.- LATIN II GF	Gayle, M.- ADV ALG: CONC & CONN GF	Kendall, M.- MSTRY ORCH I	Grigg, A.- AP WOR HIST GF	Beall, S.- PHYSICS GF	Rogers, C.- ACADEMIC CONTACT	Held, H.- 10 LIT & COMP GF
104	11	Grigg, A.- US HISTORY	Ernest, K.- FRENCH I	Harvey, J.- PHYSICS	Nagle, J.- ADV ALG: CONC & CONN	Tshudy, E.- DANCE II	Underwood, Z.- ACADEMIC CONTACT	Steele, E.- 11 AM LIT & COMP
105	10	Smith, T.- 10 LIT & COMP	Smith, T.- GEOMETRY: CONC & CONN	Smith, T.- EARTH SYS	Smith, T.- WORLD HIST	Smith, T.- ACADEMIC CONTACT	Smith, T.- COMM SERV I	Smith, T.- INTRO LT SPORTS
106	12				Creasy, A.- ACADEMIC CONTACT	Creasy, A.- MKT WS I		
107	10	Morrow Gonzalez, S.- 10 LIT & COMP	Rungruang, R.- WORLD HIST	Lucky, J.- CHEM	Darji, V.- ACADEMIC CONTACT	Bell, R.- GEOMETRY: C&C STRAT	Henry, T.- GEOMETRY: CONC & CONN	Mincy, C.- BODY SCULP
108	10	Jones, P.- GENERAL PE I	Cox, T.- ADV ALG: CONC & CONN	Mabrey, Z.- WORLD HIST	Hembree, R.- ACADEMIC CONTACT	Debban, E.- VIS ART COMP II	Ford, P.- 10 LIT & COMP	Dickens, K.- CHEM
109	12	Dunbar, H.- INTRO BUSI TECH	Nighbert, C.- WGT TN	Mclendon, J.- PRECALCULUS	Chambers, K.- ACADEMIC CONTACT	Hembree, R.- FOREST SCIENCE	Rotondi, A.- AMGOV/CIV	Severtson, K.- 12 BR LIT & COMP
